VCD info: dumpfile saida.vcd opened for output.
Teste OK: 0000 + 0000 = 00000
Teste OK: 0000 + 0001 = 00001
Teste OK: 0000 + 0010 = 00010
Teste OK: 0000 + 0011 = 00011
Teste OK: 0000 + 0100 = 00100
Teste OK: 0000 + 0101 = 00101
Teste OK: 0000 + 0110 = 00110
Teste OK: 0000 + 0111 = 00111
Teste OK: 0000 + 1000 = 01000
Teste OK: 0000 + 1001 = 01001
Teste OK: 0000 + 1010 = 01010
Teste OK: 0000 + 1011 = 01011
Teste OK: 0000 + 1100 = 01100
Teste OK: 0000 + 1101 = 01101
Teste OK: 0000 + 1110 = 01110
Teste OK: 0000 + 1111 = 01111
Teste OK: 0001 + 0000 = 00001
Teste OK: 0001 + 0001 = 00010
Teste OK: 0001 + 0010 = 00011
Teste OK: 0001 + 0011 = 00100
Teste OK: 0001 + 0100 = 00101
Teste OK: 0001 + 0101 = 00110
Teste OK: 0001 + 0110 = 00111
Teste OK: 0001 + 0111 = 01000
Teste OK: 0001 + 1000 = 01001
Teste OK: 0001 + 1001 = 01010
Teste OK: 0001 + 1010 = 01011
Teste OK: 0001 + 1011 = 01100
Teste OK: 0001 + 1100 = 01101
Teste OK: 0001 + 1101 = 01110
Teste OK: 0001 + 1110 = 01111
Teste OK: 0001 + 1111 = 10000
Teste OK: 0010 + 0000 = 00010
Teste OK: 0010 + 0001 = 00011
Teste OK: 0010 + 0010 = 00100
Teste OK: 0010 + 0011 = 00101
Teste OK: 0010 + 0100 = 00110
Teste OK: 0010 + 0101 = 00111
Teste OK: 0010 + 0110 = 01000
Teste OK: 0010 + 0111 = 01001
Teste OK: 0010 + 1000 = 01010
Teste OK: 0010 + 1001 = 01011
Teste OK: 0010 + 1010 = 01100
Teste OK: 0010 + 1011 = 01101
Teste OK: 0010 + 1100 = 01110
Teste OK: 0010 + 1101 = 01111
Teste OK: 0010 + 1110 = 10000
Teste OK: 0010 + 1111 = 10001
Teste OK: 0011 + 0000 = 00011
Teste OK: 0011 + 0001 = 00100
Teste OK: 0011 + 0010 = 00101
Teste OK: 0011 + 0011 = 00110
Teste OK: 0011 + 0100 = 00111
Teste OK: 0011 + 0101 = 01000
Teste OK: 0011 + 0110 = 01001
Teste OK: 0011 + 0111 = 01010
Teste OK: 0011 + 1000 = 01011
Teste OK: 0011 + 1001 = 01100
Teste OK: 0011 + 1010 = 01101
Teste OK: 0011 + 1011 = 01110
Teste OK: 0011 + 1100 = 01111
Teste OK: 0011 + 1101 = 10000
Teste OK: 0011 + 1110 = 10001
Teste OK: 0011 + 1111 = 10010
Teste OK: 0100 + 0000 = 00100
Teste OK: 0100 + 0001 = 00101
Teste OK: 0100 + 0010 = 00110
Teste OK: 0100 + 0011 = 00111
Teste OK: 0100 + 0100 = 01000
Teste OK: 0100 + 0101 = 01001
Teste OK: 0100 + 0110 = 01010
Teste OK: 0100 + 0111 = 01011
Teste OK: 0100 + 1000 = 01100
Teste OK: 0100 + 1001 = 01101
Teste OK: 0100 + 1010 = 01110
Teste OK: 0100 + 1011 = 01111
Teste OK: 0100 + 1100 = 10000
Teste OK: 0100 + 1101 = 10001
Teste OK: 0100 + 1110 = 10010
Teste OK: 0100 + 1111 = 10011
Teste OK: 0101 + 0000 = 00101
Teste OK: 0101 + 0001 = 00110
Teste OK: 0101 + 0010 = 00111
Teste OK: 0101 + 0011 = 01000
Teste OK: 0101 + 0100 = 01001
Teste OK: 0101 + 0101 = 01010
Teste OK: 0101 + 0110 = 01011
Teste OK: 0101 + 0111 = 01100
Teste OK: 0101 + 1000 = 01101
Teste OK: 0101 + 1001 = 01110
Teste OK: 0101 + 1010 = 01111
Teste OK: 0101 + 1011 = 10000
Teste OK: 0101 + 1100 = 10001
Teste OK: 0101 + 1101 = 10010
Teste OK: 0101 + 1110 = 10011
Teste OK: 0101 + 1111 = 10100
Teste OK: 0110 + 0000 = 00110
Teste OK: 0110 + 0001 = 00111
Teste OK: 0110 + 0010 = 01000
Teste OK: 0110 + 0011 = 01001
Teste OK: 0110 + 0100 = 01010
Teste OK: 0110 + 0101 = 01011
Teste OK: 0110 + 0110 = 01100
Teste OK: 0110 + 0111 = 01101
Teste OK: 0110 + 1000 = 01110
Teste OK: 0110 + 1001 = 01111
Teste OK: 0110 + 1010 = 10000
Teste OK: 0110 + 1011 = 10001
Teste OK: 0110 + 1100 = 10010
Teste OK: 0110 + 1101 = 10011
Teste OK: 0110 + 1110 = 10100
Teste OK: 0110 + 1111 = 10101
Teste OK: 0111 + 0000 = 00111
Teste OK: 0111 + 0001 = 01000
Teste OK: 0111 + 0010 = 01001
Teste OK: 0111 + 0011 = 01010
Teste OK: 0111 + 0100 = 01011
Teste OK: 0111 + 0101 = 01100
Teste OK: 0111 + 0110 = 01101
Teste OK: 0111 + 0111 = 01110
Teste OK: 0111 + 1000 = 01111
Teste OK: 0111 + 1001 = 10000
Teste OK: 0111 + 1010 = 10001
Teste OK: 0111 + 1011 = 10010
Teste OK: 0111 + 1100 = 10011
Teste OK: 0111 + 1101 = 10100
Teste OK: 0111 + 1110 = 10101
Teste OK: 0111 + 1111 = 10110
Teste OK: 1000 + 0000 = 01000
Teste OK: 1000 + 0001 = 01001
Teste OK: 1000 + 0010 = 01010
Teste OK: 1000 + 0011 = 01011
Teste OK: 1000 + 0100 = 01100
Teste OK: 1000 + 0101 = 01101
Teste OK: 1000 + 0110 = 01110
Teste OK: 1000 + 0111 = 01111
Teste OK: 1000 + 1000 = 10000
Teste OK: 1000 + 1001 = 10001
Teste OK: 1000 + 1010 = 10010
Teste OK: 1000 + 1011 = 10011
Teste OK: 1000 + 1100 = 10100
Teste OK: 1000 + 1101 = 10101
Teste OK: 1000 + 1110 = 10110
Teste OK: 1000 + 1111 = 10111
Teste OK: 1001 + 0000 = 01001
Teste OK: 1001 + 0001 = 01010
Teste OK: 1001 + 0010 = 01011
Teste OK: 1001 + 0011 = 01100
Teste OK: 1001 + 0100 = 01101
Teste OK: 1001 + 0101 = 01110
Teste OK: 1001 + 0110 = 01111
Teste OK: 1001 + 0111 = 10000
Teste OK: 1001 + 1000 = 10001
Teste OK: 1001 + 1001 = 10010
Teste OK: 1001 + 1010 = 10011
Teste OK: 1001 + 1011 = 10100
Teste OK: 1001 + 1100 = 10101
Teste OK: 1001 + 1101 = 10110
Teste OK: 1001 + 1110 = 10111
Teste OK: 1001 + 1111 = 11000
Teste OK: 1010 + 0000 = 01010
Teste OK: 1010 + 0001 = 01011
Teste OK: 1010 + 0010 = 01100
Teste OK: 1010 + 0011 = 01101
Teste OK: 1010 + 0100 = 01110
Teste OK: 1010 + 0101 = 01111
Teste OK: 1010 + 0110 = 10000
Teste OK: 1010 + 0111 = 10001
Teste OK: 1010 + 1000 = 10010
Teste OK: 1010 + 1001 = 10011
Teste OK: 1010 + 1010 = 10100
Teste OK: 1010 + 1011 = 10101
Teste OK: 1010 + 1100 = 10110
Teste OK: 1010 + 1101 = 10111
Teste OK: 1010 + 1110 = 11000
Teste OK: 1010 + 1111 = 11001
Teste OK: 1011 + 0000 = 01011
Teste OK: 1011 + 0001 = 01100
Teste OK: 1011 + 0010 = 01101
Teste OK: 1011 + 0011 = 01110
Teste OK: 1011 + 0100 = 01111
Teste OK: 1011 + 0101 = 10000
Teste OK: 1011 + 0110 = 10001
Teste OK: 1011 + 0111 = 10010
Teste OK: 1011 + 1000 = 10011
Teste OK: 1011 + 1001 = 10100
Teste OK: 1011 + 1010 = 10101
Teste OK: 1011 + 1011 = 10110
Teste OK: 1011 + 1100 = 10111
Teste OK: 1011 + 1101 = 11000
Teste OK: 1011 + 1110 = 11001
Teste OK: 1011 + 1111 = 11010
Teste OK: 1100 + 0000 = 01100
Teste OK: 1100 + 0001 = 01101
Teste OK: 1100 + 0010 = 01110
Teste OK: 1100 + 0011 = 01111
Teste OK: 1100 + 0100 = 10000
Teste OK: 1100 + 0101 = 10001
Teste OK: 1100 + 0110 = 10010
Teste OK: 1100 + 0111 = 10011
Teste OK: 1100 + 1000 = 10100
Teste OK: 1100 + 1001 = 10101
Teste OK: 1100 + 1010 = 10110
Teste OK: 1100 + 1011 = 10111
Teste OK: 1100 + 1100 = 11000
Teste OK: 1100 + 1101 = 11001
Teste OK: 1100 + 1110 = 11010
Teste OK: 1100 + 1111 = 11011
Teste OK: 1101 + 0000 = 01101
Teste OK: 1101 + 0001 = 01110
Teste OK: 1101 + 0010 = 01111
Teste OK: 1101 + 0011 = 10000
Teste OK: 1101 + 0100 = 10001
Teste OK: 1101 + 0101 = 10010
Teste OK: 1101 + 0110 = 10011
Teste OK: 1101 + 0111 = 10100
Teste OK: 1101 + 1000 = 10101
Teste OK: 1101 + 1001 = 10110
Teste OK: 1101 + 1010 = 10111
Teste OK: 1101 + 1011 = 11000
Teste OK: 1101 + 1100 = 11001
Teste OK: 1101 + 1101 = 11010
Teste OK: 1101 + 1110 = 11011
Teste OK: 1101 + 1111 = 11100
Teste OK: 1110 + 0000 = 01110
Teste OK: 1110 + 0001 = 01111
Teste OK: 1110 + 0010 = 10000
Teste OK: 1110 + 0011 = 10001
Teste OK: 1110 + 0100 = 10010
Teste OK: 1110 + 0101 = 10011
Teste OK: 1110 + 0110 = 10100
Teste OK: 1110 + 0111 = 10101
Teste OK: 1110 + 1000 = 10110
Teste OK: 1110 + 1001 = 10111
Teste OK: 1110 + 1010 = 11000
Teste OK: 1110 + 1011 = 11001
Teste OK: 1110 + 1100 = 11010
Teste OK: 1110 + 1101 = 11011
Teste OK: 1110 + 1110 = 11100
Teste OK: 1110 + 1111 = 11101
Teste OK: 1111 + 0000 = 01111
Teste OK: 1111 + 0001 = 10000
Teste OK: 1111 + 0010 = 10001
Teste OK: 1111 + 0011 = 10010
Teste OK: 1111 + 0100 = 10011
Teste OK: 1111 + 0101 = 10100
Teste OK: 1111 + 0110 = 10101
Teste OK: 1111 + 0111 = 10110
Teste OK: 1111 + 1000 = 10111
Teste OK: 1111 + 1001 = 11000
Teste OK: 1111 + 1010 = 11001
Teste OK: 1111 + 1011 = 11010
Teste OK: 1111 + 1100 = 11011
Teste OK: 1111 + 1101 = 11100
Teste OK: 1111 + 1110 = 11101
Teste OK: 1111 + 1111 = 11110
tb.v:50: $finish called at 256000 (1ps)
